01020003	014E14
0102000B	014E08
01020019	014E3D
0102001A	014E0D
01020024	015E76
01020029	016C40
0102002C	013401
01020066	014E2D
010200A0	0191C6
010200DE	01793C
010200F8	014E84
01020107	01916A
01020108	014E83
01020121	014E94
01020162	014EB3
01020169	015B70
01020187	015965
0102018C	015EB8
010201B0	014EC9
010201BB	014FD3
010201DA	017532
010201FE	014F11
01020201	014EDB
01020206	015020
01020208	014F4C
0102020E	014F88
01020213	014FE9
01020223	018001
01020229	015082
01020255	014F7F
01020256	014F94
0102026B	014FC7
0102026E	015026
01020293	01508D
01020296	014F8B
010202A8	0150CE
010202A9	0150DD
010202AB	014F9A
010202B1	015019
010202B3	014FBF
010202B6	015AB5
010202BE	01777D
010202D2	01547D
010202DB	018129
010202E3	01501A
010202F1	0150C1
010202FC	014FE3
010202FD	013493
010202FF	014FB3
01020320	01509C
0102033C	014EBF
0102035F	0153EF
0102036C	01502C
0102036E	015015
01020377	0150F0
0102037B	014FE6
010203A1	01506D
010203B2	015046
010203BC	0150C4
010203D7	0150DA
010203EA	0134A0
010203EC	014FDC
0102041A	014FEA
0102041B	015107
01020427	01511A
01020431	01501D
01020433	015122
0102043F	0185A8
01020472	014F65
0102047D	015145
01020486	01513F
010204B0	015B32
010204B1	0150FB
010204DB	014EBC
01020540	017F54
01020545	01518D
01020549	017A74
0102054B	01518C
0102054D	015B98
0102056A	019F0F
01020575	014EA2
010205A0	0153E4
010205B8	0151D4
010205E7	0151D8
01020615	017199
01020621	0151DB
01020624	0151B7
01020632	015927
01020636	015426
01020652	018D57
01020675	0153E3
01020678	017518
01020692	019F7F
010206B3	01520C
010206C9	0134DE
010206D2	015233
010206EC	015211
010206EE	015276
01020707	01523B
01020713	015254
0102071F	015248
01020728	0152BE
01020738	015242
0102073A	015217
0102073E	015282
01020765	015232
01020790	015249
010207AB	01523B
010207FD	015280
01020800	01350D
01020803	013510
01020832	01529B
0102086B	0152DA
01020892	013521
010208A4	0161A0
010208A5	013517
010208BF	013523
010208C1	0152B3
010208C3	0152E5
010208D9	0165EC
010208DE	01519B
010208E9	017EA6
010208F5	015310
01020905	013529
0102092C	01531A
01020966	013534
01020971	016708
01020983	015345
01020984	015349
01020987	014EA5
01020993	014E15
010209B6	019769
010209DE	015146
010209E8	01548E
010209E9	016094
010209EA	015363
01020A0D	01537F
01020A10	01536C
01020A1C	01537C
01020A1E	01537F
01020A2E	014EC4
01020A30	015973
01020A5F	018FB0
01020A6F	015B58
01020A9E	01539D
01020AA5	01539F
01020AAA	01539C
01020AEA	01516D
01020B3B	015949
01020B56	016562
01020B5E	0153D2
01020BA2	0153F3
01020BA6	0153EC
01020BAF	0153F0
01020BB7	015409
01020BC1	018DB3
01020BCD	015465
01020BD2	015316
01020BDE	015467
01020C5C	015597
01020C69	01541B
01020C6F	015750
01020C8B	0189DC
01020C8E	015420
01020CC1	0135A5
01020CC5	0195EE
01020CF7	01547F
01020D01	015474
01020D1F	0154A9
01020D2A	015530
01020D2E	0155B7
01020D2F	0155A2
01020D40	015E08
01020D41	0196E0
01020D42	015549
01020D43	015548
01020D52	015550
01020D70	0154D3
01020D72	0154FF
01020D75	015535
01020DBA	0154FD
01020DC3	0155D6
01020DD5	015439
01020DF8	015581
01020E59	0155AB
01020E5E	01557D
01020ED4	015671
01020EDB	0155FE
01020EE9	018A82
01020EEF	0154F3
01020EF6	0155FC
01020F15	015457
01020F62	0135D8
01020F6C	015462
01020F7A	01569A
01020F7F	015471
01020F85	018981
01020F96	015668
01020FC8	01557E
01020FCA	0155AB
01020FCC	0155C2
01020FCD	015538
01021012	015610
01021050	0155CC
01021052	0155AB
01021090	0156CB
01021092	014720
01021096	015667
010210A2	015604
0102113A	01560C
0102113C	018669
01021157	018669
0102115B	0156B5
01021170	015608
0102117F	01563E
010211A1	018D77
010211BE	01518F
010211C3	019091
010211CA	015703
010211E1	0176EE
010211EA	017A96
01021215	015708
0102122D	0172F1
01021239	0156FF
01021243	01575C
01021248	015728
0102125B	01572A
0102125D	0157FA
0102125F	0158EE
0102126C	01577B
010212AE	018881
010212BA	016D0B
010212DD	015791
010212F2	015750
01021331	0158BA
01021369	01577C
010213A9	0157C2
010213B0	015880
010213B1	015794
010213B2	0181FA
010213B9	0157D0
010213C3	01366A
01021447	01582E
0102144A	0157F5
0102144F	0158D4
0102145F	017A9D
01021462	01581E
0102148B	0158BD
010214A1	019F16
010214A3	015890
